Propriétés,Type,Description,Valeurs possibles,Valeur défaut
format ,String,"| Le format du message html ou text. Selon le choix, une deuxième configuration devra
| être définie soit html ou text. ","'text', 'html' ",
html ,String,Le html du message sur une seule ligne. Cette configuration est obligatoire si le format = 'html. ,,
icon ,String,Icone à ajouter au message. ,,
options.* ,Notification ,"| Voir les options Notifications dans le projet 
| `angular2-notification options. <https://github.com/flauc/angular2-notifications#options>`_ ",,
options.template ,String ,En construction ,,
options.from ,Date | String ,"| Date de début de l'application du message.
| Peut être une date OU un string interprétable
| en javascript. `https://developer.mozilla.org/fr/docs... <https://developer.mozilla.org/fr/docs/Web/JavaScript/Reference/Global_Objects/Date/parse>`_ ",,
options.to,Date | String ,"| Date de fin de l'application du message.
| Peut être une date OU un string interprétable
| en javascript. `https://developer.mozilla.org/fr/docs... <https://developer.mozilla.org/fr/docs/Web/JavaScript/Reference/Global_Objects/Date/parse>`_ ",,
text ,String,"| Le text du message à afficher. Cette configuration remplace la configuration html.
| NB.: pour un message qui sera traduction en fonction du navigateur simplement
| créer une clef de traduction indiquer ici et de mettre sont équivalent dans les
| fichiers de traduction local en.json, fr.json. Exemple:
| ""text"": ""messageContextXyz"",
| fr.json = ""messageContextXyz"": <h3>mon super message</h3>
| en.json = ""messageContextXyz"": <h3>message in english</h3> ",,
title ,String,"| Le titre du message à afficher. Cette configuration s'active seulement avec la
| configuration text et ne sera pas pris en compte avec la configuration html. ",,
type ,String,"| Le type du message à afficher. Avertissement, erreur ou information.
| Selon le type choisi une couleur spécifiée sera appliquée selon la
| thématique de couleur de l'application. ","| 'alert', 'error',
| 'info', 'success'",
