Propriétés,Type,Description,Valeurs possibles,Valeur défaut
**type*** ,String ,,mvt ,mvt 
**url*** ,String ,"| L'URL du service de données tuilées en spécifiant la position
| des tuiles en déclarant les balises de remplacement:
|     - {x}
|     - {-y}
|     - {z}
| X et Y représentent la position de la tuile appelée
| tandis que le Z, le zoom. ",,
excludeAttribute ,String [],"| Liste des attributs exclus du getInfo lorsque l'application
| est en ligne. ",,
excludeAttributeOffline,String [],"| Liste des attributs exclus du getInfo lorsque l'application
| est hors-ligne.",,
featureClass ,String ,"| Définir cette option en tant que 'feature' pour obtenir
| une prise en charge complète de l'édition
| et de la géométrie des tuiles.
| Cette option diminue les performances de rendu des tuiles.
| Ne pas utiliser cette option pour
| optimiser le rendu des tuiles. ",feature ,
